'DAY  D A J
DAHILIG  D A HH I L I G
DAHON  D A HH O N
DAHOP  D A HH O P
DAIG  D A Q I G
DAIGDIG  D A Q I G D I G
DAING  D A Q I NG
DAIS  D A Q I S
DAISY  D A Q I SY
DAKA  D A K A
DAKA'  D A K A Q
DAKDAK  D A K D A K
DAKILA  D A K I L A
DAKILA'  D A K I L A Q
DAKIP  D A K I P
DAKMA  D A K M A
DAKMA'  D A K M A Q
DAKO  D A K O
DAKO'  D A K O Q
DAKOL  D A K O L
DAKOT  D A K O T
DAKOTA  D A K O T A
DAKOTA'  D A K O T A Q
DAKS  D A K S
DAKTAO  D A K T A O
DAKTAO'  D A K T A O Q
DAKTINIG  D A K T I N I G
DAKUTIN  D A K U T I N
DALA  D A L A
DALA'  D A L A Q
DALAG  D A L A G
DALAGA  D A L A H A
DALAGA'  D A L A H A Q
DALAGINDAY  D A L A H I N D A J
DALAGINDING  D A L A H I N D I NG
DALAGITA  D A L A H I T A
DALAGITA'  D A L A H I T A Q
DALAHICAN  D A L A HH I K A N
DALAHIK  D A L A HH I K
DALAHIKAN  D A L A HH I K A N
DALAHIRA  D A L A HH I DX A
DALAHIRA'  D A L A HH I DX A Q
DALAMHATI  D A L A M HH A T I
DALAMHATI'  D A L A M HH A T I Q
DALAMPASIG  D A L A M P A S I G
DALAMPASIGAN  D A L A M P A S I H A N
DALANDAN  D A L A N D A N
DALANDANAN  D A L A N D A N A N
DALANG  D A L A NG
DALANGAT  D A L A NG A T
DALANGHITA  D A L A NG HH I T A
DALANGHITA'  D A L A NG HH I T A Q
DALANGIN  D A L A NG I N
DALAS  D A L A S
DALASAN  D A L A S A N
DALATAN  D A L A T A N
DALAW  D A L A W
DALAWA  D A L A W A
DALAWA'  D A L A W A Q
DALAWAMPU  D A L A W A M P U
DALAWAMPU'  D A L A W A M P U Q
DALAWANDAAN  D A L A W A N D A Q A N
DALAWIN  D A L A W I N
DALAWIT  D A L A W I T
DALDAL  D A L D A L
DALDALERA  D A L D A L E DX A
DALDALERA'  D A L D A L E DX A Q
DALDALERO  D A L D A L E DX O
DALDALERO'  D A L D A L E DX O Q
DALE  D A L E
DALE'  D A L E Q
DALHIN  D A L HH I N
DALI  D A L I
DALI'  D A L I Q
DALIKDIK  D A L I K D I K
DALIRI  D A L I DX I
DALIRI'  D A L I DX I Q
DALISAY  D A L I S A J
DALIT  D A L I T
DALITA  D A L I T A
DALITA'  D A L I T A Q
DALMASYA  D A L M A SY A
DALMASYA'  D A L M A SY A Q
DALMATIKA  D A L M A T I K A
DALMATIKA'  D A L M A T I K A Q
DALO  D A L O
DALO'  D A L O Q
DALOHAKA  D A L O HH A K A
DALOHAKA'  D A L O HH A K A Q
DALOK  D A L O K
DALOS  D A L O S
DALOY  D A L O J
DALUBBANWA  D A L U B B A N W A
DALUBBANWA'  D A L U B B A N W A Q
DALUBBANWAHAN  D A L U B B A N W A HH A N
DALUBGURO  D A L U B G U DX O
DALUBGURO'  D A L U B G U DX O Q
DALUBHALMAN  D A L U B HH A L M A N
DALUBHALMANAN  D A L U B HH A L M A N A N
DALUBHASA  D A L U B HH A S A
DALUBHASA'  D A L U B HH A S A Q
DALUBHASAAN  D A L U B HH A S A Q A N
DALUBHAYOP  D A L U B HH A J O P
DALUBHAYUPAN  D A L U B HH A J U P A N
DALUBITUINAN  D A L U B I T U I N A N
DALUBKABIBIHAN  D A L U B K A B I B I HH A N
DALUBKATAWAN  D A L U B K A T A W A N
DALUBKULISAP  D A L U B K U L I S A P
DALUBKULISAPAN  D A L U B K U L I S A P A N
DALUBLAHI  D A L U B L A HH I
DALUBLAHI'  D A L U B L A HH I Q
DALUBLAHIAN  D A L U B L A HH I A N
DALUBLASUNAN  D A L U B L A S U N A N
DALUBLUMUTAN  D A L U B L U M U T A N
DALUBMAGINGAN  D A L U B M A H I NG A N
DALUBMAYAWAN  D A L U B M A J A W A N
DALUBSINING  D A L U B S I N I NG
DALUBSUGAAN  D A L U B S U H A Q A N
DALUBTALA  D A L U B T A L A
DALUBTALA'  D A L U B T A L A Q
DALUBTALAAN  D A L U B T A L A Q A N
DALUBTALAIN  D A L U B T A L A Q I N
DALUBTAO  D A L U B T A O
DALUBTAO'  D A L U B T A O Q
DALUBTAUHAN  D A L U B T A W HH A N
DALUBWIKA  D A L U B W I K A
DALUBWIKA'  D A L U B W I K A Q
DALUBWIKAAN  D A L U B W I K A Q A N
DALUHAKA  D A L U HH A K A
DALUHAKA'  D A L U HH A K A Q
DALUHONG  D A L U HH O NG
DALUMAT  D A L U M A T
DALURO  D A L U DX O
DALURO'  D A L U DX O Q
DALUROK  D A L U DX O K
DALUSONG  D A L U S O NG
DALUYONG  D A L U J O NG
DALWA  D A L W A
DALWA'  D A L W A Q
DALYA  D A L J A
DALYA'  D A L J A Q
DAMA  D A M A
DAMA'  D A M A Q
DAMAG  D A M A G
DAMAHAN  D A M A HH A N
DAMAK  D A M A K
DAMAY  D A M A J
DAMBANA  D A M B A N A
DAMBANA'  D A M B A N A Q
DAMBONG  D A M B O NG
DAMBUHALA  D A M B U HH A L A
DAMBUHALA'  D A M B U HH A L A Q
DAMDAM  D A M D A M
DAMDAMIN  D A M D A M I N
DAMI  D A M I
DAMI'  D A M I Q
DAMIKAY  D A M I K A J
DAMIT  D A M I T
DAMO  D A M O
DAMO'  D A M O Q
DAMOT  D A M O T
DAMPA  D A M P A
DAMPA'  D A M P A Q
DAMPALIT  D A M P A L I T
DAMPI  D A M P I
DAMPI'  D A M P I Q
DAMPOT  D A M P O T
DAMSIHA  D A M S I HH A
DAMSIHA'  D A M S I HH A Q
DAMUHAN  D A M U HH A N
DAMUHO  D A M U HH O
DAMUHO'  D A M U HH O Q
DAMUKOL  D A M U K O L
DAMULAG  D A M U L A G
DANAK  D A N A K
DANAS  D A N A S
DANAW  D A N A W
DANAY  D A N A J
DANCEL  D A N K E L
DANDANG  D A N D A NG
DANES  D A N E S
DANESA  D A N E S A
DANESA'  D A N E S A Q
DANGAL  D A NG A L
DANGAN  D A NG A N
DANGDANG  D A NG D A NG
DANGGIT  D A NG G I T
DANGKAL  D A NG K A L
DANI  D A N I
DANI'  D A N I Q
DANIW  D A N I W
DANSAY  D A N S A J
DANTAON  D A N T A O N
DANTAY  D A N T A J
DANTAYAN  D A N T A J A N
DANUM  D A N U M
DANUMBILING  D A N U M B I L I NG
DANUMBULOG  D A N U M B U L O G
DANUMHAYNAYAN  D A N U M HH A J N A J A N
DANUMKAPNAYAN  D A N U M K A P N A J A N
DANUMNAYAN  D A N U M N A J A N
DANUMSIGWASAN  D A N U M S I G W A S A N
DANUMTIGILAN  D A N U M T I H I L A N
DANYO  D A N J O
DANYO'  D A N J O Q
DANYOS  D A N J O S
DAO  D A O
DAO'  D A O Q
DAONG  D A O NG
DAOS  D A O S
DAPA  D A P A
DAPA'  D A P A Q
DAPAL  D A P A L
DAPAT  D A P A T
DAPAW  D A P A W
DAPDAP  D A P D A P
DAPIT  D A P I T
DAPITAN  D A P I T A N
DAPITHAPON  D A P I T HH A P O N
DAPLIS  D A P L I S
DAPO  D A P O
DAPO'  D A P O Q
DAPOG  D A P O G
DAPROZA  D A P DX O Z A
DAPROZA'  D A P DX O Z A Q
DAPULAK  D A P U L A K
DAPWA  D A P W A
DAPWA'  D A P W A Q
DARA  D A DX A
DARA'  D A DX A Q
DARAK  D A DX A K
DARANG  D A DX A NG
DARANGHITA  D A DX A NG HH I T A
DARANGHITA'  D A DX A NG HH I T A Q
DARAS  D A DX A S
DARASIGSUKAT  D A DX A S I G S U K A T
DARATING  D A DX A T I NG
DARWIN  D A DX W I N
DASAL  D A S A L
DASIK  D A S I K
DASMA  D A S M A
DASMA'  D A S M A Q
DASMARINYAS  D A S M A DX I NY A S
DASPAN  D A S P A N
DASPANIN  D A S P A N I N
DASTER  D A S T E DX
DATAL  D A T A L
DATAPUWA  D A T A P U W A
DATAPUWA'  D A T A P U W A Q
DATAPWA  D A T A P W A
DATAPWA'  D A T A P W A Q
DATAPWAT  D A T A P W A T
DATI  D A T I
DATI'  D A T I Q
DATIHAN  D A T I HH A N
DATILES  D A T I L E S
DATING  D A T I NG
DATINGAN  D A T I NG A N
DATINGUINOO  D A T I NG U I N O Q O
DATINGUINOO'  D A T I NG U I N O Q O Q
DATNAN  D A T N A N
DATO  D A T O
DATO'  D A T O Q
DATONG  D A T O NG
DATOS  D A T O S
DATU  D A T U
DATU'  D A T U Q
DATUNG  D A T U NG
DAULAT  D A W L A T
DAUNGAN  D A Q U NG A N
DAUSDOS  D A W S D O S
DAVAO  D A V A O
DAVAO'  D A V A O Q
DAVID  D A V I D
DAW  D A W
DAWA  D A W A
DAWA'  D A W A Q
DAWAG  D A W A G
DAWDAW  D A W D A W
DAWI  D A W I
DAWI'  D A W I Q
DAWIS  D A W I S
DAWIT  D A W I T
DAY  D A J
DAYA  D A J A
DAYA'  D A J A Q
DAYAGRAM  D A J A G DX A M
DAYALEKTO  D A J A L E K T O
DAYALEKTO'  D A J A L E K T O Q
DAYALOGO  D A J A L O H O
DAYALOGO'  D A J A L O H O Q
DAYAMI  D A J A M I
DAYAMI'  D A J A M I Q
DAYAN  D A J A N
DAYANDANTE  D A J A N D A N T E
DAYANDANTE'  D A J A N D A N T E Q
DAYANG  D A J A NG
DAYANGHIRANG  D A J A NG HH I DX A NG
DAYAO  D A J A O
DAYAO'  D A J A O Q
DAYAP  D A J A P
DAYAPER  D A J A P E DX
DAYO  D A J O
DAYO'  D A J O Q
DAYRIT  D A J DX I T
DAYUHAN  D A J U HH A N
DAYUKYOK  D A J U K J O K
DAYUNGON  D A J U NG O N
DAYURAYO  D A J U DX A J O
DAYURAYO'  D A J U DX A J O Q
DAZO  D A Z O
DAZO'  D A Z O Q
DEANG  D E A NG
DEBATE  D E B A T E
DEBATE'  D E B A T E Q
DEBATISTA  D E B A T I S T A
DEBATISTA'  D E B A T I S T A Q
DEBOSYON  D E B O SY O N
DEBOTO  D E B O T O
DEBOTO'  D E B O T O Q
DECENA  D E K E N A
DECENA'  D E K E N A Q
DEDBOL  D E D B O L
DEDIKADO  D E D I K A D O
DEDIKADO'  D E D I K A D O Q
DEDIKASYON  D E D I K A SY O N
DEDMA  D E D M A
DEDMA'  D E D M A Q
DEDS  D E D S
DEE  D E Q E
DEE'  D E Q E Q
DEFENSOR  D E F E N S O DX
DEGAMO  D E H A M O
DEGAMO'  D E H A M O Q
DEHADO  D E HH A D O
DEHADO'  D E HH A D O Q
DEHINS  D E HH I N S
DEISMO  D E I S M O
DEISMO'  D E I S M O Q
DEISTA  D E I S T A
DEISTA'  D E I S T A Q
DEKADA  D E K A D A
DEKADA'  D E K A D A Q
DEKALOGO  D E K A L O H O
DEKALOGO'  D E K A L O H O Q
DEKAMETRO  D E K A M E T DX O
DEKAMETRO'  D E K A M E T DX O Q
DEKANA  D E K A N A
DEKANA'  D E K A N A Q
DEKANO  D E K A N O
DEKANO'  D E K A N O Q
DEKLARA  D E K L A DX A
DEKLARA'  D E K L A DX A Q
DEKLARASYON  D E K L A DX A SY O N
DEKORASYON  D E K O DX A SY O N
DEKORASYUNAN  D E K O DX A SY U N A N
DEKRETO  D E K DX E T O
DEKRETO'  D E K DX E T O Q
DEKWAT  D E K W A T
DEKWATIN  D E K W A T I N
DELA  D E L A
DELA'  D E L A Q
DELAS  D E L A S
DELATA  D E L A T A
DELATA'  D E L A T A Q
DELEGADO  D E L E H A D O
DELEGADO'  D E L E H A D O Q
DELEGASYON  D E L E H A SY O N
DELFIN  D E L F I N
DELGADO  D E L G A D O
DELGADO'  D E L G A D O Q
DELIBERASYON  D E L I B E DX A SY O N
DELIKADESA  D E L I K A D E S A
DELIKADESA'  D E L I K A D E S A Q
DELIKADO  D E L I K A D O
DELIKADO'  D E L I K A D O Q
DELIRYO  D E L I DX J O
DELIRYO'  D E L I DX J O Q
DELIZO  D E L I Z O
DELIZO'  D E L I Z O Q
DELOS  D E L O S
DELUBYO  D E L U B J O
DELUBYO'  D E L U B J O Q
DEMANDA  D E M A N D A
DEMANDA'  D E M A N D A Q
DEMANDADO  D E M A N D A D O
DEMANDADO'  D E M A N D A D O Q
DEMANO  D E M A N O
DEMANO'  D E M A N O Q
DEMOKRASYA  D E M O K DX A SY A
DEMOKRASYA'  D E M O K DX A SY A Q
DEMOLISYON  D E M O L I SY O N
DEMONSTRASYON  D E M O N S T DX A SY O N
DEMONYO  D E M O N J O
DEMONYO'  D E M O N J O Q
DEMOSTRASYON  D E M O S T DX A SY O N
DENGGE  D E NG G E
DENGGE'  D E NG G E Q
DENGGOY  D E NG G O J
DENGGOYIN  D E NG G O J I N
DENOTASYON  D E N O T A SY O N
DENTISTA  D E N T I S T A
DENTISTA'  D E N T I S T A Q
DENTISTERIYA  D E N T I S T E DX I J A
DENTISTERIYA'  D E N T I S T E DX I J A Q
DEOGRASYAS  D E O G DX A SY A S
DEONTOLOHIYA  D E O N T O L O HH I J A
DEONTOLOHIYA'  D E O N T O L O HH I J A Q
DEPARO  D E P A DX O
DEPARO'  D E P A DX O Q
DEPARTAMENTO  D E P A DX T A M E N T O
DEPARTAMENTO'  D E P A DX T A M E N T O Q
DEPEKTIBO  D E P E K T I B O
DEPEKTIBO'  D E P E K T I B O Q
DEPENDE  D E P E N D E
DEPENDE'  D E P E N D E Q
DEPENSA  D E P E N S A
DEPENSA'  D E P E N S A Q
DEPENSAHAN  D E P E N S A HH A N
DEPENSIBO  D E P E N S I B O
DEPENSIBO'  D E P E N S I B O Q
DEPINISYON  D E P I N I SY O N
DEPORESTASYON  D E P O DX E S T A SY O N
DEPORTASYON  D E P O DX T A SY O N
DEPOSITO  D E P O S I T O
DEPOSITO'  D E P O S I T O Q
DEPRESASYON  D E P DX E S A SY O N
DEPRESYON  D E P DX E SY O N
DEREGULASYON  D E DX E H U L A SY O N
DERETSA  D E DX E TS A
DERETSA'  D E DX E TS A Q
DERETSO  D E DX E TS O
DERETSO'  D E DX E TS O Q
DERIS  D E DX I S
DESBENTAHA  D E S B E N T A HH A
DESBENTAHA'  D E S B E N T A HH A Q
DESENA  D E S E N A
DESENA'  D E S E N A Q
DESENTE  D E S E N T E
DESENTE'  D E S E N T E Q
DESESPERADA  D E S E S P E DX A D A
DESESPERADA'  D E S E S P E DX A D A Q
DESESPERADO  D E S E S P E DX A D O
DESESPERADO'  D E S E S P E DX A D O Q
DESESPERASYON  D E S E S P E DX A SY O N
DESGRASYA  D E S G DX A SY A
DESGRASYA'  D E S G DX A SY A Q
DESGRASYADA  D E S G DX A SY A D A
DESGRASYADA'  D E S G DX A SY A D A Q
DESGRASYADO  D E S G DX A SY A D O
DESGRASYADO'  D E S G DX A SY A D O Q
DESIDIDO  D E S I D I D O
DESIDIDO'  D E S I D I D O Q
DESILITRO  D E S I L I T DX O
DESILITRO'  D E S I L I T DX O Q
DESIMETRO  D E S I M E T DX O
DESIMETRO'  D E S I M E T DX O Q
DESIMPEKSIYON  D E S I M P E K S I J O N
DESISYON  D E S I SY O N
DESKARIL  D E S K A DX I L
DESKARTE  D E S K A DX T E
DESKARTE'  D E S K A DX T E Q
DESKRIPSIYON  D E S K DX I P S I J O N
DESKUBRI  D E S K U B DX I
DESKUBRI'  D E S K U B DX I Q
DESKUMPIYADO  D E S K U M P I J A D O
DESKUMPIYADO'  D E S K U M P I J A D O Q
DESKUWENTO  D E S K U W E N T O
DESKUWENTO'  D E S K U W E N T O Q
DESMAYA  D E S M A J A
DESMAYA'  D E S M A J A Q
DESMAYADO  D E S M A J A D O
DESMAYADO'  D E S M A J A D O Q
DESPABORISIDO  D E S P A B O DX I S I D O
DESPABORISIDO'  D E S P A B O DX I S I D O Q
DESPALINGHADO  D E S P A L I NG HH A D O
DESPALINGHADO'  D E S P A L I NG HH A D O Q
DESPEDIDA  D E S P E D I D A
DESPEDIDA'  D E S P E D I D A Q
DESPERADA  D E S P E DX A D A
DESPERADA'  D E S P E DX A D A Q
DESPERADO  D E S P E DX A D O
DESPERADO'  D E S P E DX A D O Q
DESPERASYON  D E S P E DX A SY O N
DESPERTADOR  D E S P E DX T A D O DX
DESPUIG  D E S P U I G
DESTABILISASYON  D E S T A B I L I S A SY O N
DESTINASYON  D E S T I N A SY O N
DESTINO  D E S T I N O
DESTINO'  D E S T I N O Q
DESTIYERO  D E S T I J E DX O
DESTIYERO'  D E S T I J E DX O Q
DESTORNILYADOR  D E S T O DX N I L J A D O DX
DESTRUKSIYON  D E S T DX U K S I J O N
DESYERTO  D E SY E DX T O
DESYERTO'  D E SY E DX T O Q
DETALYADO  D E T A L J A D O
DETALYADO'  D E T A L J A D O Q
DETALYE  D E T A L J E
DETALYE'  D E T A L J E Q
DETEKTIB  D E T E K T I B
DETENE  D E T E N E
DETENE'  D E T E N E Q
DETENI  D E T E N I
DETENI'  D E T E N I Q
DETENIDO  D E T E N I D O
DETENIDO'  D E T E N I D O Q
DETERMINASYON  D E T E DX M I N A SY O N
DETERMINISMO  D E T E DX M I N I S M O
DETERMINISMO'  D E T E DX M I N I S M O Q
DETINI  D E T I N I
DETINI'  D E T I N I Q
DETONASYON  D E T O N A SY O N
DI  D I
DI'  D I Q
DIAMANTE  DY A M A N T E
DIAMANTE'  DY A M A N T E Q
DIAN  DY A N
DIAZ  DY A Z
DIBA  D I B A
DIBA'  D I B A Q
DIBDIB  D I B D I B
DIBDIBIN  D I B D I B I N
DIBIDENDASO  D I B I D E N D A S O
DIBIDENDASO'  D I B I D E N D A S O Q
DIBISYON  D I B I SY O N
DIBLINIG  D I B L I N I G
DIBORSIYO  D I B O DX S I J O
DIBORSIYO'  D I B O DX S I J O Q
DIDILAWAN  D I D I L A W A N
DIGA  D I H A
DIGA'  D I H A Q
DIGAS  D I H A S
DIGHAL  D I G HH A L
DIGHAY  D I G HH A J
DIGLAP  D I G L A P
DIGMA  D I G M A
DIGMA'  D I G M A Q
DIGMAAN  D I G M A Q A N
DIGNAYAN  D I G N A J A N
DIGNIDAD  D I G N I D A D
DIGOS  D I H O S
DIGTALAIN  D I G T A L A Q I N
DIHITO  D I HH I T O
DIHITO'  D I HH I T O Q
DIIGKASIN  D I Q I G K A S I N
DIIN  D I Q I N
DIINAN  D I Q I N A N
DIIT  D I Q I T
DIITAN  D I Q I T A N
DIJAMCO  D I J A M K O
DIJAMCO'  D I J A M K O Q
DIKDIK  D I K D I K
DIKE  D I K E
DIKE'  D I K E Q
DIKIAM  D I K I A M
DIKIN  D I K I N
DIKIT  D I K I T
DIKLAP  D I K L A P
DIKO  D I K O
DIKO'  D I K O Q
DIKSIYONARYO  D I K S I J O N A DX J O
DIKSIYONARYO'  D I K S I J O N A DX J O Q
DIKSIYUNARYO  D I K S I J U N A DX J O
DIKSIYUNARYO'  D I K S I J U N A DX J O Q
DIKSYONARYO  D I K SY O N A DX J O
DIKSYONARYO'  D I K SY O N A DX J O Q
DIKSYUNARYO  D I K SY U N A DX J O
DIKSYUNARYO'  D I K SY U N A DX J O Q
DIKTA  D I K T A
DIKTA'  D I K T A Q
DIKTADOR  D I K T A D O DX
DIKTADORA  D I K T A D O DX A
DIKTADORA'  D I K T A D O DX A Q
DIKTADURA  D I K T A D U DX A
DIKTADURA'  D I K T A D U DX A Q
DIKTADURYA  D I K T A D U DX J A
DIKTADURYA'  D I K T A D U DX J A Q
DIKYA  D I K J A
DIKYA'  D I K J A Q
DIKYAM  D I K J A M
DILA  D I L A
DILA'  D I L A Q
DILAAN  D I L A Q A N
DILAG  D I L A G
DILAMBUWAYA  D I L A M B U W A J A
DILAMBUWAYA'  D I L A M B U W A J A Q
DILAN  D I L A N
DILANG  D I L A NG
DILAT  D I L A T
DILAW  D I L A W
DILAWAN  D I L A W A N
DILAWDINSOL  D I L A W D I N S O L
DILI  D I L I
DILI'  D I L I Q
DILIG  D I L I G
DILIGAN  D I L I H A N
DILIHENSIYA  D I L I HH E N S I J A
DILIHENSIYA'  D I L I HH E N S I J A Q
DILIKAS  D I L I K A S
DILIM  D I L I M
DILIMAN  D I L I M A N
DILIS  D I L I S
DILUBYO  D I L U B J O
DILUBYO'  D I L U B J O Q
DIMAALA  D I M A Q A L A
DIMAALA'  D I M A Q A L A Q
DIMAANDAL  D I M A Q A N D A L
DIMAANO  D I M A Q A N O
DIMAANO'  D I M A Q A N O Q
DIMAAPI  D I M A Q A P I
DIMAAPI'  D I M A Q A P I Q
DIMACALI  D I M A K A L I
DIMACALI'  D I M A K A L I Q
DIMACUHA  D I M A K U HH A
DIMACUHA'  D I M A K U HH A Q
DIMACUJA  D I M A K U J A
DIMACUJA'  D I M A K U J A Q
DIMACULANGAN  D I M A K U L A NG A N
DIMAFELIX  D I M A F E L I K S
DIMAGIBA  D I M A H I B A
DIMAGIBA'  D I M A H I B A Q
DIMAILIG  D I M A Q I L I G
DIMALALUAN  D I M A L A L U A N
DIMALANTA  D I M A L A N T A
DIMALANTA'  D I M A L A N T A Q
DIMAPILIS  D I M A P I L I S
DIMARANAN  D I M A DX A N A N
DIMARIM  D I M A DX I M
DIMATATAK  D I M A T A T A K
DIMATULAK  D I M A T U L A K
DIMAUNAHAN  D I M A Q U N A HH A N
DIMAYUGA  D I M A J U H A
DIMAYUGA'  D I M A J U H A Q
DIMIG  D I M I G
DIMSUM  D I M S U M
DIN  D I N
DINADALA  D I N A D A L A
DINADALA'  D I N A D A L A Q
DINAGAT  D I N A H A T
DINAGIPIK  D I N A H I P I K
DINALA  D I N A L A
DINALA'  D I N A L A Q
DINAMARKA  D I N A M A DX K A
DINAMARKA'  D I N A M A DX K A Q
DINAMITA  D I N A M I T A
DINAMITA'  D I N A M I T A Q
DINASTIYA  D I N A S T I J A
DINASTIYA'  D I N A S T I J A Q
DINDING  D I N D I NG
DINE  D I N E
DINE'  D I N E Q
DINENGDENG  D I N E NG D E NG
DINGAL  D I NG A L
DINGDING  D I NG D I NG
DINGGIN  D I NG G I N
DINGIG  D I NG I G
DINGLASAN  D I NG L A S A N
DINGSOL  D I NG S O L
DINGSULAN  D I NG S U L A N
DINI  D I N I
DINI'  D I N I Q
DINIDILAWAN  D I N I D I L A W A N
DINIG  D I N I G
DINILAWAN  D I N I L A W A N
DINORADO  D I N O DX A D O
DINORADO'  D I N O DX A D O Q
DINOSAWRO  D I N O S A W DX O
DINOSAWRO'  D I N O S A W DX O Q
DINSOL  D I N S O L
DINSULAN  D I N S U L A N
DINUDUGUAN  D I N U D U H U A N
DINUDULUHAN  D I N U D U L U HH A N
DINUGUAN  D I N U H U A N
DINULUHAN  D I N U L U HH A N
DINUMERO  D I N U M E DX O
DINUMERO'  D I N U M E DX O Q
DIOKNO  D I O K N O
DIOKNO'  D I O K N O Q
DIONISIO  D I O N I SY O
DIONISIO'  D I O N I SY O Q
DIPA  D I P A
DIPA'  D I P A Q
DIPASUPIL  D I P A S U P I L
DIPENDE  D I P E N D E
DIPENDE'  D I P E N D E Q
DIPERENSIYA  D I P E DX E N S I J A
DIPERENSIYA'  D I P E DX E N S I J A Q
DIPLOMASYA  D I P L O M A SY A
DIPLOMASYA'  D I P L O M A SY A Q
DIPLOMATA  D I P L O M A T A
DIPLOMATA'  D I P L O M A T A Q
DIPLOMATIKO  D I P L O M A T I K O
DIPLOMATIKO'  D I P L O M A T I K O Q
DIPOLOG  D I P O L O G
DIPTERYA  D I P T E DX J A
DIPTERYA'  D I P T E DX J A Q
DIREK  D I DX E K
DIREKSIYON  D I DX E K S I J O N
DIREKSYON  D I DX E K SY O N
DIREKTA  D I DX E K T A
DIREKTA'  D I DX E K T A Q
DIREKTIBA  D I DX E K T I B A
DIREKTIBA'  D I DX E K T I B A Q
DIREKTOR  D I DX E K T O DX
DIREKTORA  D I DX E K T O DX A
DIREKTORA'  D I DX E K T O DX A Q
DIREKTORYO  D I DX E K T O DX J O
DIREKTORYO'  D I DX E K T O DX J O Q
DIRETSO  D I DX E TS O
DIRETSO'  D I DX E TS O Q
DIRI  D I DX I
DIRI'  D I DX I Q
DIRIHI  D I DX I HH I
DIRIHI'  D I DX I HH I Q
DIRIHIBLE  D I DX I HH I B L E
DIRIHIBLE'  D I DX I HH I B L E Q
DIRIS  D I DX I S
DISABILIDAD  D I S A B I L I D A D
DISALUYAN  D I S A L U J A N
DISENTE  D I S E N T E
DISENTE'  D I S E N T E Q
DISENTERIYA  D I S E N T E DX I J A
DISENTERIYA'  D I S E N T E DX I J A Q
DISENYO  D I S E N J O
DISENYO'  D I S E N J O Q
DISGRASIYA  D I S G DX A S I J A
DISGRASIYA'  D I S G DX A S I J A Q
DISGRASYA  D I S G DX A SY A
DISGRASYA'  D I S G DX A SY A Q
DISIN  D I S I N
DISINUWEBE  D I S I N U W E B E
DISINUWEBE'  D I S I N U W E B E Q
DISIOTSO  D I SY O TS O
DISIOTSO'  D I SY O TS O Q
DISIPLINA  D I S I P L I N A
DISIPLINA'  D I S I P L I N A Q
DISIPLINADO  D I S I P L I N A D O
DISIPLINADO'  D I S I P L I N A D O Q
DISIPLINAHIN  D I S I P L I N A HH I N
DISIPULO  D I S I P U L O
DISIPULO'  D I S I P U L O Q
DISISAIS  D I S I S A Q I S
DISISEIS  D I S I S E I S
DISISIYETE  D I S I S I J E T E
DISISIYETE'  D I S I S I J E T E Q
DISKARIL  D I S K A DX I L
DISKARTE  D I S K A DX T E
DISKARTE'  D I S K A DX T E Q
DISKITA  D I S K I T A
DISKITA'  D I S K I T A Q
DISKO  D I S K O
DISKO'  D I S K O Q
DISKOMPIYADO  D I S K O M P I J A D O
DISKOMPIYADO'  D I S K O M P I J A D O Q
DISKRIMINASYON  D I S K DX I M I N A SY O N
DISKUMPIYADO  D I S K U M P I J A D O
DISKUMPIYADO'  D I S K U M P I J A D O Q
DISKURSO  D I S K U DX S O
DISKURSO'  D I S K U DX S O Q
DISKUSYON  D I S K U SY O N
DISKUWALIPIKA  D I S K U W A L I P I K A
DISKUWALIPIKA'  D I S K U W A L I P I K A Q
DISKUWALIPIKADO  D I S K U W A L I P I K A D O
DISKUWALIPIKADO'  D I S K U W A L I P I K A D O Q
DISKUWALIPIKASYON  D I S K U W A L I P I K A SY O N
DISKUWENTO  D I S K U W E N T O
DISKUWENTO'  D I S K U W E N T O Q
DISKWALIPIKASYON  D I S K W A L I P I K A SY O N
DISKWENTO  D I S K W E N T O
DISKWENTO'  D I S K W E N T O Q
DISMAYADO  D I S M A J A D O
DISMAYADO'  D I S M A J A D O Q
DISO  D I S O
DISO'  D I S O Q
DISPATSER  D I S P A TS E DX
DISPENSA  D I S P E N S A
DISPENSA'  D I S P E N S A Q
DISPERAS  D I S P E DX A S
DISPOSISYON  D I S P O S I SY O N
DISTANSIYA  D I S T A N S I J A
DISTANSIYA'  D I S T A N S I J A Q
DISTANSYA  D I S T A N SY A
DISTANSYA'  D I S T A N SY A Q
DISTINGGIDO  D I S T I NG G I D O
DISTINGGIDO'  D I S T I NG G I D O Q
DISTRIBUSYON  D I S T DX I B U SY O N
DISTRITO  D I S T DX I T O
DISTRITO'  D I S T DX I T O Q
DISYEMBRE  D I SY E M B DX E
DISYEMBRE'  D I SY E M B DX E Q
DITA  D I T A
DITA'  D I T A Q
DITABLO  D I T A B L O
DITABLO'  D I T A B L O Q
DITDIT  D I T D I T
DITINI  D I T I N I
DITINI'  D I T I N I Q
DITO  D I T O
DITO'  D I T O Q
DITSE  D I TS E
DITSE'  D I TS E Q
DIVINAGRACIA  D I V I N A G DX A SY A
DIVINAGRACIA'  D I V I N A G DX A SY A Q
DIWA  D I W A
DIWA'  D I W A Q
DIWANG  D I W A NG
DIWATA  D I W A T A
DIWATA'  D I W A T A Q
DIYABETES  D I J A B E T E S
DIYABETIKO  D I J A B E T I K O
DIYABETIKO'  D I J A B E T I K O Q
DIYABLO  D I J A B L O
DIYABLO'  D I J A B L O Q
